page	ligne	col	lu	corrige	vedette lue	vedette retenue
274	22	0	k	l	karotido	larotido
275	38	5	s	a	kartusho	kartuaho
276	7	1	m	a	kmrubo	karubo
277	54	1	a	e	katakaustika	ketakaustika
279	22	5	o	c	kateto	katetc
280	12	2	u	c	kmustika	kmcstika
280	35	1	s	m	lsvalrio	lmvalrio
280	47	3	o	c	kayo	kayc
280	57	2	s	z	kaso	kazc
280	57	3	o	c	kaso	kazc
281	6	4	o	c	kazeo	kazec
281	36	1	a	e	kazuistiko	keauistiko
281	36	2	z	a	kazuistiko	keauistiko
282	10	1	m	a	kmsiotaktismo	kasiotaktismo
282	13	1	s	e	kssiotropismo	kesiotropismo
282	16	2	r	m	kmrelc	kmmelc
282	23	1	e	s	keratino	ksratino
282	28	1	m	a	kmrseso	karseso
283	10	3	c	o	kilcgramo	kilogIamo
283	10	5	r	I	kilcgramo	kilogIamo
284	25	0	l	s	lmsdo	smsdo
284	28	0	l	d	llakar	dlakar
284	38	0	l	k	liano	kiano
286	13	1	i	l	kiepsidro	klepsidro
286	22	1	i	l	kiiento	kliento
288	14	1	i	l	kiovo	klovo
288	23	1	i	l	kiubo	klubo
288	28	0	l	k	llukar	klukar
290	15	0	l	d	lmmerar	dmmerar
290	35	1	o	m	kokao	kmkao
291	38	5	o	c	kolego	kolegc
292	3	2	l	d	kmlektoro	kmdektoro
292	8	2	l	i	kmlecptero	kmiecptero
292	12	2	l	i	kmlero	kmiero
292	32	1	c	o	kclikar	kolikar
294	28	1	h	m	khlzo	kmlzo
296	51	0	l	k	lmmpanio	kmmpanio
297	39	1	c	o	kcmpleta	kompleta
298	8	2	m	a	kmmplotar	kmaplotar
298	12	2	m	a	kmmpostar	kmapostar
298	24	2	m	s	kmmmrenar	kmsmrenar
298	27	2	m	s	kmmpresar	kmspresar
299	20	3	o	c	konoeptar	konceptar
299	25	7	a	e	konceptaklo	koncepteklo
300	5	0	l	k	londamnar	kondamnar
300	26	0	l	k	londilono	kondilono
300	36	4	c	o	kondcminiar	kondominiar
300	38	4	c	o	kondcro	kondoro
