# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
62	49	0-6,10-13
62	52	40-53
63	2	0-4
63	5	0-6
63	10	0-6,10-16,21-28
63	12	0-8
63	16	0-6
63	19	0-9
63	23	0-5
63	28	0-4
63	33	0-8,12-19,23-36
63	36	0-6,10-13
63	37	19-36
63	39	0-5,10-15,19-40
63	44	0-4,8-12,48-57
63	48	0-5
63	51	0-7
64	2	0-7,11-18
64	4	0-7
64	7	0-4
64	8	17-27
64	10	0-8
64	13	0-6
64	15	0-6,10-14
64	20	0-7,12-19
64	23	0-8,13-20
64	26	0-4
64	29	0-6,10-13
64	31	44-48
64	33	0-5
64	35	0-5
64	40	0-4,8-12
64	42	14-28
64	44	0-9
64	47	0-7
64	51	0-5,9-13
64	52	54-60
64	53	3-9
65	2	0-7
65	8	0-4
65	11	0-8
65	14	0-6
65	18	0-8
65	22	0-5
65	25	0-8
65	33	0-5
65	37	0-8
65	41	0-5,9-13,52-57
65	42	3-7
65	44	0-4
65	47	0-3
65	50	0-8
66	3	0-5
66	4	35-44
66	5	47-59
66	6	59-67
66	7	2-7
66	10	0-4
66	13	0-7,12-19
66	17	0-5,9-14
66	20	0-5,10-14
66	22	0-4
66	26	0-7
66	29	0-7,11-16
66	33	0-7
66	37	0-6
66	40	0-4,8-13
66	42	27-30
66	45	0-7,12-19
66	48	0-8
66	51	0-5
67	3	0-6,13-18
67	4	29-35
67	8	0-6
67	10	0-6,10-14
67	14	0-4,9-16
67	16	0-3
67	18	0-7
67	20	0-7
67	24	0-3
67	25	27-31
67	30	0-6,10-14
67	33	0-5
67	37	0-5,10-13
67	39	23-38
67	41	0-7
67	47	0-8,12-17
67	50	0-3,8-15,36-60
67	53	0-4,33-38
68	3	0-9,13-18,23-38
68	6	0-6
68	8	0-3
68	11	0-5
68	14	0-5
68	17	0-6
68	18	36-42
68	20	0-4
68	24	0-7,11-15,38-53
68	26	0-5,9-12
68	27	30-47
68	29	0-3
68	32	0-7,11-15
68	34	27-43
68	36	0-8
68	39	0-8
68	43	0-5,9-14
68	49	0-4
68	51	0-8,12-17
69	5	0-10
69	8	0-7,11-27
69	11	0-6
69	13	0-4
69	16	0-6
69	19	3-17
69	21	0-5
69	22	14-27
69	24	0-7
69	28	0-7,11-16,38-38
69	32	0-3,7-9
69	35	0-8,12-15
69	37	23-39
69	39	0-5
69	42	0-8,12-15
69	44	6-22
69	46	0-8,12-15
69	47	31-45
69	49	0-8,12-17
69	52	0-5
69	54	0-6
70	6	0-6
70	9	0-6
70	12	0-4
70	14	0-7,12-17
70	16	6-20
70	18	0-5,10-15
70	21	0-5
70	23	0-4,8-12
70	24	30-33
70	26	0-5,9-12
70	27	22-32
70	29	0-5
70	32	0-6,10-13
70	33	51-58
70	34	3-13
70	36	0-6,10-13
70	38	45-54
70	40	0-5
70	43	0-6
70	47	0-6,11-16
70	50	0-2,47-53,55-61
70	53	0-4
71	2	0-9
71	6	0-10
71	8	0-9
71	12	0-6,10-13
71	16	0-6
71	19	0-5
71	22	0-5
71	26	0-4,8-13
71	30	0-8
71	33	0-7,14-19,51-58
71	37	0-5,12-25
71	41	0-5
71	44	0-8,12-17
71	49	0-8,12-25
71	51	0-3
71	56	0-11
72	3	0-6,10-16
72	6	0-8
72	11	0-4
72	15	0-7
72	19	0-6
72	22	0-6
72	24	0-5,9-34
72	27	0-5,9-13
72	31	0-5,9-19
72	36	0-6
72	38	0-10
72	44	0-6,10-16
72	47	0-8
72	50	0-8
72	53	0-7
73	2	0-7
73	6	0-10
73	9	0-3
73	12	0-5
73	15	0-4,8-10
73	16	14-19
73	18	0-5
73	21	0-2
73	23	0-3
73	26	0-8
73	29	0-4
73	31	0-6
73	34	0-6,10-14
73	36	30-44
73	38	0-7
73	41	0-5
73	45	0-7
73	48	0-3,7-11
73	52	0-4,33-37
74	3	0-5
74	6	0-6,10-17
74	9	0-8
74	12	0-6
74	15	0-5,9-12
74	16	52-54
74	17	3-12
74	19	0-5,10-25
74	22	0-5
74	25	0-8
74	28	0-4,8-12
74	30	23-28
74	32	0-5,9-13
74	35	0-6
74	40	0-5,9-13
74	43	0-5,9-15
74	47	0-5
74	49	0-4
74	51	0-8,12-17
75	3	0-7,12-16
75	7	0-5,9-51
75	11	0-7,11-18
75	14	0-3
75	17	0-5,9-13
75	21	0-4
75	26	0-3
75	28	0-3
75	31	16-30
75	33	0-5
75	37	0-8,12-19
75	43	0-7
75	49	0-4
75	52	0-7,11-15
76	3	0-3
76	9	0-5
76	13	0-3
76	16	0-6
76	19	0-5,9-11
76	23	6-12
76	25	0-5,9-16,21-36
76	32	0-5,9-15
76	35	0-4,8-12
76	40	0-4
76	43	0-8,12-16
76	45	0-10,14-20
76	48	31-41
76	50	0-3
76	53	0-6
77	2	0-5
77	5	0-9,14-20,25-56
77	6	3-9
77	9	0-4
77	11	0-4,8-12
77	14	0-3,7-11
77	15	23-37
77	17	0-6,11-14
