vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
ah!		Interjeciono qua indikas ke onu quik expresos emoco forta qua kaptis la psiko (joyo, doloro, iraco, e c.)					11	47	18	sen-lingua
ailanto	bot.	Planto ek la familio « nutacei »	Ailanthus				11	50	18	sen-lingua
-ajo		Sufixo qua indikas : I. Kozo facita ek ula materio, o qua posedas ta o ca karaktero (ex. : lanajo, kotonajo, bonajo, bitrajo). (per extenso di la senco). Ago, parolo, procedo di... (amikalajo, pueralajo) ¶ (kun verbo transitiva) Indikas la objekto pasiva di la ago (cakaze, lu equivalas « -ata ») (ex. : manjajo : karno, pano, legumi); vidajo : kozo vidata ¶ (kun verbo mixita) -ajo = a(ta) jo (ex. : chanjajo : kozo chanjata.) ¶ (kun verbo netransitiva) Indikas la subjekto, ed equivalas -(ant) ajo (ex. : rezultajo : to quo rezultas; eventajo : to quo eventas)			Italiana,Italiana	II	12	2	19	
ajio	banko-komerco	Profito de la difero inter la valoro nominala e la valoro reala di la moneto-peci – inter la valoro nuna e la preco lor la pagoteso di la valor-paperi, di la vari di qui la kurso varias			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	12	14	19	
ajila		Di qua la movi esas flexebla, rapida			Angla,Franca,Italiana,Hispana	EFIS	12	19	19	
ajiotar	netrans., pri	Spekular pri la valor-paperi, pri la vari, di qui la kursi esas variiva			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	12	21	19	
ajornar	trans., til	Rezolvar ke (ulo) agesos o facesos erste en ta o ca dio, vice nun			Angla,Franca,Italiana	EFI	12	24	19	
ajuro		(arkitekt.) Singla ek la mikra aperturi di ornamentajo ¶ (stofo) Quaza truo en broduro o dentelo			Germana,Angla,Franca	DEF	12	27	19	
ajustar	trans.	Intermuntar ed inter-harmoniigar la parti di mashino, di mekanismo, por atingar la skopo determinita			Angla,Franca	EF	12	30	19	
ajuto		Tubo adaptita a la orifico di fonteno, di recipiento, e c. por modifikar (pri lua volumo o lua formo) la fluo di la liquido			Angla,Franca	EF	12	34	19	
akacio	bot.	Genero de planti mimozea, di qui ula speci donas kachuo, glutino-gumo, e c.	acacia vera		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	12	38	19	
akademio		Societo literaturala, ciencala, artala, di qua la membri esas, generale, elektita e fixa-nombra, e qua ne docas			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	12	41	19	
akanto	bot.	Planto bikotiledona, di qua la folii esas dentoza	acanthus		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	12	45	19	
akantino	biol.	Substanco organika, albuminoza, solvebla en sal-aquo – ye qua konsistas la skeleto di ula radiolarii					12	48	19	sen-lingua
akantonar	trans., en) (milit.	Instalar la armeani en la loki diversa di teritorio ube li devas vivar dum kelka tempo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	13	3	20	
akaparar	trans.	(ulo) Rezervigar por su, komprar la tota quanto de ta o ca varo qua ofresas vende en merkato. – Prenar por su ipsa, detrimente di la kunhomi ¶ (ulu) (metaf.) Kaptar (lu) e ne lasar (lu) relatar kun la personi cetera					13	7	20	sen-lingua
akaro	zool.	Familio de insekti di qui la tipo esas L.acarus, kun korpo, generale, disko-forma e globatra, sen distingo tre preciza di abdomino de cefalotorako			Angla,Franca,Italiana,Rusa,Hispana,Latina	EFIRSL	13	13	20	
aklamar	trans.	Aceptar per klami e krii de entuziasmo – agita da plura, multa, personi kune			Germana,Angla,Franca,Italiana,Hispana	DEFIS	13	17	20	
aklimatar	trans.	Igar (lu) adaptar su a klimato altra kam ta di lua nasko-lando. – (anke metaf.)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	20	20	
akneo	patol.	Erupto di papuli			Angla,Franca,Italiana,Hispana	EFIS	13	23	20	
akoluto	eklezio katolika	Kleriko qua, en kirko, exekutis la taski grosiera			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	25	20	
akomodar	trans.	Aranjar kozo tale ke lu konvenas por ulu			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	28	20	
akompanar		Juntar su (ad ulu) por irar adube lu iras ¶ (muziko) Adjuntar, a la parto precipua quan kantas o pleas ulu, partin acesora por igar olta saliar			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	13	31	20	
akonito	bot.	Planto venenoza, ek la familio « renonkulacei »	aconitum		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	35	20	
akonto		Pago di parto de debo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	13	38	20	
akoro	bot.	Genero de aroidei, kun flori hermafrodita, qui enkovras la spadico	acorus calamus		Latina	L	13	40	20	
akordar	trans.	(muziko) Existigar relato preciza inter la soni diversa di muzik-instrumento segun diapazono. Regular plura instrumenti muzikala segun la sama diapazonosono ¶ (gram.) Igar (per flexioni) vorto relatar kun altra vorto di qua lu devas sequar la varii			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	43	20	
akordeono		Muzik-instrumento, kun klavaro, langeti metala, libere movebla, quin vibrigas suflilo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	13	49	20	
akra		Di qua la saporo, la odoro, esas forta, quaze acida, ed iritas la respir-organi e la guturo ¶ (metaf.) (aludante persono) Di qua la karaktero esas bitre vundiva			Angla,Franca,Italiana,Hispana	EFIS	13	52	20	
akreditar	trans., ye	Igar (ulu) egardata kom fidinda (anke financale) ¶ Igar (ulu) agnoskesar kom ambasadisto ye guvernistaro stranjera			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	5	21	
akrido	zool.	Insekto saltera, qua devastas la agri trupe, e quan onu konfundas ofte a la lokusto	acridium		Italiana	I	14	9	21	
akrobato		La homo qua agas publike prodaji di forteso, di equilibro, di ajileso; gimnastikisto, klauno, herkulatro, equilibristo, jonglisto, dislokito, desostizito, serpentatro, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	12	21	
akrochar	trans., an	Pendigar de hoko ¶ Retenar per hoko o per ulo qua efikas quale hoko			Franca	F	14	17	21	
akromatino	biol.	Substanco liquida di la celulo-nukleo qua esas kolorizebla per reaktivi, ma multe plu desfacile kam kromatino			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	20	21	
akropolo	che la Greki antiqua	Citadelo, en la parto maxim alte-situita di la urbo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	24	21	
akrostiko		Serio de versi di qui la literi unesma di singla lineo riproduktas, segun lia ordino, la literi ye qui konsistas la nomo di persono o di kozo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	27	21	
akroterio	arkitekt.	Soklo di statuo, di vazo, instalita sur frontono			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	31	21	
akto		(yuro) Folio skriburoza qua konstatas fakto, konvenciono, obligeso ¶ (teatro) Parto di teatrajo, separita de la cetera da intervalo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	34	21	
aktinio	zool.	Zoofito kun korpo pulpatra, quaze muskuloza, ornita diverse, adheranta a sulo per bazo cirkla qua efikas quale ventuzo	actinia		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	38	21	
aktinika		Dicesas pri ta radii per qui la suno-lumo efikas kemiale a substanci diversa					14	42	21	sen-lingua
aktiva		(gram.) Voco aktiva : qua expresas la ago ¶ (milit.) Servado aktiva : servado da la armeanigeblo qua esas reale en armeo, sub la standardo ¶ (financo) Debaji aktiva : pri qui onu esas la debario ¶ (komerco) Aktivo : to quon ulu expektas recevor kom debata a lu – to quon lu posedas, proprietas			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	45	21	
aktoro	teatro, cinemo	La persono qua reprezentas un ek la roli, en teatrajo o cinemajo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	14	52	21	
aktuala		(filoz.) Qua realeskas – qua pasas de virtualeso ad ago ¶ Qua interesas en la periodo nuna			Germana,Angla,Franca,Italiana,Hispana	DEFIS	15	5	22	
akular	trans., ad	Igar butar kontre ulo, per la parto dopa ¶ Pulsar aden loko ube ne plus esas posibla retroirar. – (anke metaf.)			Franca,Italiana,Hispana	FIS	15	8	22	
akumular	trans.	Pozar kozi, ici sur iti, plenigante, ecese, sen-limite. – (anke metaf.)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	15	12	22	
akumulatoro	elektro	Aparato baterio, fonto di elektro, quan onu povas transportar ed uzar en sua lojeyo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	15	15	22	
akurata		Qua arivas (persono) precize ye la kloko konvencionita			Germana,Italiana,Rusa,Hispana	DIRS	15	18	22	
akushar	trans.	Igar la feto homala ekirar- per ekpulso naturala, o per extrakto – de la organo en qua lu su developis			Germana,Angla,Franca,Rusa	DEFR	15	21	22	
akustiko		La parto di fiziko qua koncernas la soni			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	15	25	22	
akuta		Qua finas per pinto longa. – Angulo akuta : min apertita kam angulo orta ¶ Qua igas sentar su quaze kom penetranta. (metaf.)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	15	27	22	
akuzar	trans., pri	Signalar (lu) kom kulpinta ¶ (yurocienco) (a) Signalar (lu) kom kulpinta, koram tribunalo; (b) Sendar a tribunalo ¶ Signalar kom kriminalo la homo quan la judiciisto inquestala *inkulpas, t.e. judikas kom tre versemble kulpinta			Angla,Franca,Italiana,Hispana	EFIS	15	31	22	
akuzativo	gram.	(en la deklino-sistemo di la lingui Greka, Latina, Germana, Rusa, e c.) La kazo di la komplemento direta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	15	37	22	
-ala		Sufixo qua signifikas « qua relatas, koncernas, apartenas a, dependas de, konvenas por », ed anke « segun la maniero di, analoga a la verki da, digna de »					15	41	22	sen-lingua
alo		Apendico quan havas, an singla flanko di sua korpo, la animali qui povas flugar, e quan li desfaldas ed agitas por sustenar su en atmosfero ¶ (pri vento-muelilo) La granda kadri telizita qui, per moveso da vento, igas la muelo rotacar ¶ Irgo qua su extensas o desfaldas ye singla di la du flanki di kozo : (a) alo di armeo : la parto sinistra e la parto dextra di la batalio-korpo; (b) alo di edifico, di aeroplano, e c.			Angla,Franca,Italiana,Hispana	EFIS	15	45	22	
alabastro		Varietato di gipso, diafane-blanka, mola e facile laborebla ¶ Varietato di marmoro, lakto-blanka, diafana, qua devenas precipue de la stalaktiti e stalagmiti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	15	54	22	
alaktar	trans.) (aludante muliero	Nutrar (infanteto) per sua lakto			Angla,Franca,Italiana,Hispana	EFIS	16	5	23	
alambiko		Aparato por distilar			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	8	23	
alarmar	trans.	Advokar a lia armi korpo de soldati			Germana,Angla,Franca,Italiana,Hispana	DEFIS	16	10	23	
alaudo	zool.	Ucelo di la familio « konirostri », qua vivas en la agri	alauda		Franca,Italiana,Hispana,Latina	FISL	16	13	23	
albo	liturgio katolika	Tuniko ek telo blanka, kunligita super la reni per zono o kordono, quan la episkopi, la sacerdoti, e c. *weras sur sua sutano por celebrar la meso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	16	16	23	
albatroso	zool.	Mar-ucelo di la mi-sfero australa di Tero, ek la familio « longa-pluma », di qua la beko esas forta e hokatra, e la pedi, sen-polexa	diomedea		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	21	23	
albergo		Hotelo, situita (generale) en la pre-urbi di urbo, an ruro-voyo od en vilajo			Germana,Franca,Italiana,Hispana	DFIS	16	25	23	
albina	patol.	Anomaleso korpala quan karakterizas, che la homo, la senkoloreso di la pelo, di la hari, di la pili, la paleso rozea di la iriso, la redatreso di la pupilo, e quan onu vidas anke che ula animali (kunikli furo-blanka) od elefanti pelo-blanka			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	28	23	
albumo		Mikra registro, di qua la folii esas destinita a recevar noturi, autografi, skisuri, versi, muzikaji, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	34	23	
albumeno		Substanco qua envelopas la embriono en ula grani e nutras lu dum la jermifo. (anke pri la ovi)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	38	23	
albumino		Substanco quan onu renkontras en la sero di sango, en la albumeno di la ovo, e qua koagulas efike da kaloro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	41	23	
albuminoido		To di qua la naturo esas olta di albumino; dicesas pri la substanci azotoza (nitroza) di animali o vejetanti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	45	23	
albuminurio	patol.	Formo di maladeso dum qua urino esas albuminoza			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	16	49	23	
alburno	bot.	En la arbori bikotiledona, la strato unesma de ligno, ordinare blanka, qua jacas nemediate sub la kortico			Angla,Franca,Italiana,Hispana,Latina	EFISL	16	52	23	
alcedo	zool.	Mar-hirundo	alcedo				16	56	23	sen-lingua
alciono	mitol.) (en la epoki antiqua	La alcedo, egardata kom ucelo qua facas sua nesto sur maro kalma, e (da la navigisti) kom ucelo bon-augura			Germana,Angla,Franca,Italiana,Hispana	DEFIS	17	2	24	
aleo		Voyo quan facas bordumo de arbori, de arbusti folioza o de herbi longa-stipa ¶ (arkeol.) Paseyo tektoza, unionuro ek du rangi inter-paralela de dolmeni			Germana,Angla,Franca,Rusa	DEFR	17	6	24	
alegar	trans.	Mencionar o citar kom autoritato, donar kom justifikivo, kom punto di sua argumento			Germana,Angla,Franca,Italiana,Hispana	DEFIS	17	10	24	
alegorio		Vorti figura qui prizentas a la spirito senco qua esas celita sub la senco literala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	13	24	
alejar	trans.	Igar min pezoza, Igar min kargoza. (anke metaf.)			Angla,Franca,Italiana,Hispana	EFIS	17	16	24	
aleno		Puncilo quan uzas la shuifisti, la selifisti, por borar trui en la ledro-peci quin li volas inter-sutar			Franca	F	17	19	24	
alerta		Ago-rapida			Franca	F	17	22	24	
alexandrino		Verso de dek-e-du silabi, kun cezuro an-pos la sisesma			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	24	24	
alezar	trans.) (teknol.	Polisar, glatigar la parti kava di objekto borita o konkavigita			Franca,Italiana,Hispana	FIS	17	27	24	
alfabeto		La serio de la literi qui reprezentas la soni ye qui konsistas la vorti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	30	24	
alfenido		Aloyuro de nikelo e de kupro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	33	24	
algo	bot.	Vejetanto kriptogama qua kreskas en aquo sen-sala o saloza en la loki tre humida	alga		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	35	24	
algebro	matem.	Cienco di qua la skopo esas simpligar e solvar la problemi pri la *grandori, reprezentante li per literi e signi, e determinante la relati qui interligas la elementi diversa di la problemo, per formulo quan onu povas aplikar ad omna kazi simila; e qua, preterirante la skopo, studias la relati kom ipsajo, sen egardar lia origino, formi, kombinuri e transformesi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	38	24	
algoritmo	matem.	Tipo di noto-sistemo qua esas propra di genero partikulara di kalkulado			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	17	46	24	
alio	bot.	Varietato di planti liliacea, di qua la bulbo odoras e saporas forte e pikante : shaloto, oniono, cibolo, ciboleto	allium sativum		Franca,Italiana,Hispana,Latina	FISL	17	49	24	
aliancar	trans., kun	Unionar personi, familii, per mariajo. (ta vorto ne esas sinonimo di mariajar : mariajo relatas nur la gespozi; aliancar relatas lia familii.)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	17	53	24	
alibio	yuro kriminala	La fakto esir ye la instanto kande krimino eventis, en loko altra			Germana,Angla,Franca,Hispana,Rusa	DEFSR	18	5	25	
alidado		Linealo movebla por la relevo di mapi, qua havas, ye singla di sua extremaji, dioptri tra qui onu vizas la objekto di qua onu volas determinar la direciono			Germana,Angla,Franca,Rusa,Hispana	DEFRS	18	8	25	
alienar	trans.) (yurocienco	Igar la proprieto di ulu pasar ad altru, per vendo, cedo, e c.			Germana,Angla,Franca,Italiana	DEFI	18	13	25	
alienacar	netrans.	Divenar quaze stranjera ye su ipsa, perdar sua rezono-fakultato			Angla,Franca,Italiana,Hispana	EFIS	18	16	25	
aligatoro	zool.	Sorto di krokodilo en la fluvii di Amerika	alligator		Germana,Angla,Franca,Italiana,Rusa,Hispana,Latina	DEFIRSL	18	19	25	
alimentar	trans., ye	Provizar ye to quo esas necesa pri la duro di lua funciono, vivo, e c. (ex. : alimentar urbo, kaldiero, mashino)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	18	22	25	
alineo		Separo quan onu agas inter frazo e la preiranta, per igar lu spaco-komencar sur la lineo sequanta, dop mikra interspaco lakuna			Germana,Franca,Italiana	DFI	18	26	25	
aliniar	trans.	Rangizar (soldati, planti) tale ke la ensemblo formacas quaza lineo					18	30	25	sen-lingua
aliquanta	matem.	Dicesas pri *grandoro qua ne kontenesas ulaquantafoye sen restajo, en toto. (ex. : 2 esas parto aliquanta de 13)			Angla,Franca,Italiana,Hispana	EFIS	18	33	25	
aliquota	matem.	Dicesas pri *grandoro qua kontenesas ulaquantafoye sen restajo. (ex. : 2, 3, 4... esas parti aliquota di 12)			Angla,Franca,Italiana,Hispana	EFIS	18	37	25	
aliteracar	netrans. e trans.	Komencar (o finar) per la sama sono o soni			Germana,Angla,Franca,Italiana,Hispana	DEFIS	18	41	25	
alizeo	meteorol.	Vento qua suflas uniforme e konstante, de la komenco til la fino di la yaro, inter la tropiki			Franca,Italiana,Hispana	FIS	18	44	25	
alko	zool.	Speco de cervi, qua habitas la regioni norda di Tero	cervus alces		Germana,Angla,Italiana,Hispana,Latina	DEISL	18	47	25	
alkado	en Hispania	Judiciisto qua esforcas konciliar la interprocesonti qui intencas demandar la judicieso di sua afero koram la tribunalo di la yuro civila			Germana,Angla,Franca,Italiana,Hispana	DEFIS	18	50	25	
alkalio	kemio	Kompozajo kemiala qua efikas kom bazo kande lu kontaktas acido, en la sali			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	2	26	
alkaloido	kemio	Kompozajo organika di qua la propraji esas alkaliatra			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	5	26	
alkemio		Savo arkana qua mixas, a procedi kemiala, la formuli di pseudo-« arto sakra » por deskovrar la moyeno fabrikar oro e panaceo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	8	26	
alkoholo		Liquido quan onu obtenas per la distilo di la drinkaji fermentacita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	12	26	
alkoholometro		Instrumento per qua onu determinas la quanto di alkoholo quan kontenas vino, brandio, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	15	26	
alkoholometrio		Ta parto di fiziko qua traktas la procedi quin onu uzas por determinar la quanto de alkoholo quan kontenas la liquori alkoholoza			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	18	26	
alkovo		Kavajo en dormo-chambro por lokizar ibe un o plura liti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	22	26	
almanako		Kalendaro qua kontenas anke indiki astronomiala, konjekti e predici pri la vetero dum la tota yaro qua komencas			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	25	26	
almeo		Dansistino e kantistino, che la Orientani			Germana,Angla,Franca,Italiana,Hispana	DEFIS	19	29	26	
almonar	netrans., ad	Donacar karitatale a la povri			Germana,Angla,Franca	DEF	19	31	26	
alno	bot.	Arboro ek la familio « betulacei », qua kreskas an la rivo di la aquo-flui, lagi, lageti	alnus		Franca,Italiana,Latina	FIL	19	33	26	
aloo	bot.	Planto dika-folia, liliacea, di qua la folii kontenas suko bitra	aloe socotrina		Germana,Angla,Franca,Italiana,Rusa,Hispana,Latina	DEFIRSL	19	36	26	
alodio	feudismo	Domeno qua, donacite kom proprietajo di la donacario, esis heredebla e nedependanta, ecepte pri la homajo di vasaleso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	19	39	26	
alonge		Paralele ye la bordo, ye la rivo, ye la litoro di..., ma kelka-diste (de lu)			Angla,Franca,Italiana	EFI	19	43	26	
